"agriculture","point_name","lon","lat","ID","LC_Madad_MigvanB_21v1","geometry"
"Far","Beer Milka Far Semi-Shifting 2",34.454254999999996,30.924331000000006,1,2276.23583984375,"c(147752.082268723, 537290.721664449)"
"Far","Beer Milka Far Semi-Shifting 3",34.38646305,30.981950719999997,2,1603.5118408203125,"c(141319.097048418, 543724.899928021)"
"Far","Beer Milka Far Semi-Shifting 4",34.41958698999999,30.945575749999993,3,2015.099365234375,"c(144454.932492953, 539669.037340005)"
"Far","Beer Milka Far Shifting 1",34.41843699999999,30.94737299999999,4,2237.465087890625,"c(144346.440675133, 539869.081839491)"
"Far","Beer Milka Far Shifting 2",34.377555,30.981768999999996,5,977.88037109375,"c(140467.978455305, 543711.039287739)"
"Far","Beer Milka Far Shifting 3",34.44646699999999,30.915613,6,1386.767822265625,"c(147001.098246994, 536329.156300422)"
"Far","Beer Milka Far Shifting 3a",34.441794679999994,30.916338489999998,7,1107.0794677734375,"c(146555.005198614, 536412.639305627)"
"Far","Secher Far Semi-Shifting 1",34.76438000000001,31.083426,8,3330.54052734375,"c(177464.617932755, 554771.755206131)"
"Far","Secher Far Semi-Shifting 3",34.778754,31.100246,9,2066.549072265625,"c(178843.388916716, 556631.303792529)"
"Far","Secher Far Semi-Shifting 4",34.77846399999999,31.10849,10,1746.78271484375,"c(178819.231123211, 557545.455687029)"
"Far","Secher Far Shifting 1",34.777444,31.101545999999995,11,2093.1435546875,"c(178718.961033297, 556775.920306284)"
"Far","Secher Far Shifting 2",34.77955788,31.108642209999996,12,1644.1182861328125,"c(178923.650139202, 557561.931560985)"
"Far","Secher Far Shifting 3",34.774272,31.089194000000003,13,3199.70703125,"c(178411.025730392, 555407.574714577)"
"Far","Shunra East Far Semi-Shifting 1",34.59920514,30.951920079999997,14,2705.665283203125,"c(161623.60042655, 540265.383677791)"
"Far","Shunra East Far Semi-Shifting 2",34.607411000000006,30.95826,15,1666.020751953125,"c(162411.485232417, 540964.078204901)"
"Far","Shunra East Far Semi-Shifting 3",34.6108456,30.961541870000005,16,1226.0198974609375,"c(162741.598526138, 541326.194938604)"
"Far","Shunra East Far Shifting 1",34.607532,30.956426000000004,17,1762.2783203125,"c(162421.957099643, 540760.675267095)"
"Far","Shunra East Far Shifting 2",34.594039,30.952957,18,3064.41259765625,"c(161130.575332998, 540383.043319282)"
"Far","Shunra East Far Shifting 3",34.60971,30.960540000000005,19,1360.6064453125,"c(162632.503166247, 541215.693434727)"
"Near","Beer Milka Near Semi-Shifting 1",34.39159210999999,30.964033920000002,20,127.4754867553711,"c(141794.562382621, 541734.773659697)"
"Near","Beer Milka Near Semi-Shifting 2",34.377392747619034,30.970556447619057,21,175,"c(140443.2428219, 542467.95273141)"
"Near","Beer Milka Near Semi-Shifting 3",34.430591243181816,30.91658986181818,22,152.06906127929688,"c(145484.23070873, 536447.887676103)"
"Near","Beer Milka Near Shifting 1",34.42274299999999,30.92798,23,70.71067810058594,"c(144742.849947797, 537715.994748904)"
"Near","Beer Milka Near Shifting 2",34.43113,30.919663000000003,24,70.71067810058594,"c(145538.09471794, 536788.262230792)"
"Near","Beer Milka Near Shifting 3",34.43115699999999,30.925998999999994,25,75,"c(145545.54769188, 537490.743900098)"
