"year","settlements","site","point_name","ITime","Date","Date.time","dist.21.June","dist.noon","dist.21.June.radians","dist.21.June.radians.2h","dist.noon.radians","year.count","sin.dist.21.June","cos.dist.21.June","sin.dist.noon","cos.dist.noon","predicted.abnd","predicted.abnd.se"
2014,"Far",NA,NA,"17:00:00","2014-09-01","2014/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,0,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,3.011318496842299,0.4043944924466116
2014,"Near",NA,NA,"17:00:00","2014-09-01","2014/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,0,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,2.573403484613247,0.3665109166825962
2015,"Far",NA,NA,"17:00:00","2015-09-01","2015/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,1,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,3.6030794729460838,0.3991519685367629
2015,"Near",NA,NA,"17:00:00","2015-09-01","2015/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,1,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,3.07910879594464,0.37013553931237003
2017,"Far",NA,NA,"17:00:00","2017-09-01","2017/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,3,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,5.158318341388437,0.3463057282522363
2017,"Near",NA,NA,"17:00:00","2017-09-01","2017/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,3,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,4.408180140491,0.3565010562986673
2019,"Far",NA,NA,"17:00:00","2019-09-01","2019/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,5,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,7.3848629515096285,0.3092116746718677
2019,"Near",NA,NA,"17:00:00","2019-09-01","2019/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,5,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,6.310933922377919,0.38085216951981044
2021,"Far",NA,NA,"17:00:00","2021-09-01","2021/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,7,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,10.572476765344465,0.6695344900096845
2021,"Near",NA,NA,"17:00:00","2021-09-01","2021/09/01 17:00:00",72,-18000,1.2394228551148774,2.4788457102297548,-1.3089969389957472,7,0.9455963874271426,0.3253420847119801,-0.9659258262890683,0.25881904510252074,9.03499532761475,0.6853876991947915
